Impact Rank;Name;Gender;Wikipedia page;
2;Hovy, Eduard;male;https://en.wikipedia.org/wiki/Eduard_Hovy;
6;Palmer, Martha;female;https://en.wikipedia.org/wiki/Martha_Palmer;
7;Koehn, Philipp;male;https://en.wikipedia.org/wiki/Philipp_Koehn;
8;Klein, Dan;male;https://en.wikipedia.org/wiki/Dan_Klein;
9;Roth, Dan;male;https://en.wikipedia.org/wiki/Dan_Roth;
11;Jurafsky, Dan;male;https://en.wikipedia.org/wiki/Dan_Jurafsky;
15;Lapata, Mirella;female;https://en.wikipedia.org/wiki/Mirella_Lapata;
17;McKeown, Kathleen;female;https://en.wikipedia.org/wiki/Kathleen_McKeown;
18;Mihalcea, Rada;female;https://en.wikipedia.org/wiki/Inger_Mewburn;https://en.wikipedia.org/wiki/Rada_Mihalcea
21;Gurevych, Iryna;female;https://en.wikipedia.org/wiki/Iryna_Gurevych;
23;Pustejovsky, James;male;https://en.wikipedia.org/wiki/James_Pustejovsky;
24;Tsujii, Jun'ichi;male;https://en.wikipedia.org/wiki/Jun%27ichi_Tsujii;
25;Cardie, Claire;female;https://en.wikipedia.org/wiki/Claire_Cardie;
36;Barzilay, Regina;female;https://en.wikipedia.org/wiki/Regina_Barzilay;
37;Radev, Dragomir;male;https://en.wikipedia.org/wiki/Dragomir_R._Radev;
38;Diab, Mona;female;https://en.wikipedia.org/wiki/Mona_Diab;
40;Nakov, Preslav;male;https://en.wikipedia.org/wiki/Preslav_Nakov;
46;Collins, Michael;male;https://en.wikipedia.org/wiki/Michael_Collins_(computational_linguist);
53;McCallum, Andrew;male;https://en.wikipedia.org/wiki/Andrew_McCallum;
54;Walker, Marilyn;female;https://en.wikipedia.org/wiki/Marilyn_Walker;
56;Joshi, Aravind;male;https://en.wikipedia.org/wiki/Aravind_Joshi;
66;Charniak, Eugene;male;https://en.wikipedia.org/wiki/Eugene_Charniak;
69;Steedman, Mark;male;https://en.wikipedia.org/wiki/Mark_Steedman;
70;Choi, Yejin;female;https://en.wikipedia.org/wiki/Yejin_Choi;
73;Ji, Heng;female;https://en.wikipedia.org/wiki/Heng_Ji;
76;Litman, Diane;female;https://en.wikipedia.org/wiki/Diane_Litman;
81;Webber, Bonnie;female;https://en.wikipedia.org/wiki/Bonnie_Webber;
85;Curran, James R.;male;https://en.wikipedia.org/wiki/James_Curran_(linguist);
91;Daelemans, Walter;male;https://en.wikipedia.org/wiki/Walter_Daelemans;
96;Hajic, Jan;male;https://en.wikipedia.org/wiki/Jan_Haji%C4%8D;
100;Bhattacharyya, Pushpak;male;https://en.wikipedia.org/wiki/Pushpak_Bhattacharyya;
106;Mooney, Raymond;male;https://en.wikipedia.org/wiki/Raymond_J._Mooney;
117;Ananiadou, Sophia;female;https://en.wikipedia.org/wiki/Sophia_Ananiadou;
119;Hirschberg, Julia;female;https://en.wikipedia.org/wiki/Julia_Hirschberg;
126;Wilks, Yorick;male;https://en.wikipedia.org/wiki/Yorick_Wilks;
141;Fung, Pascale;female;https://en.wikipedia.org/wiki/Pascale_Fung;
142;Allen, James;male;https://en.wikipedia.org/wiki/James_F._Allen;
152;Carbonell, Jaime G.;male;https://en.wikipedia.org/wiki/Jaime_Carbonell;
157;Dorr, Bonnie;female;https://en.wikipedia.org/wiki/Bonnie_Dorr;
160;Moore, Johanna D.;female;https://en.wikipedia.org/wiki/Johanna_Moore;
164;Och, Franz Josef;male;https://en.wikipedia.org/wiki/Franz_Josef_Och;
167;Liu, Bing;female;https://en.wikipedia.org/wiki/Bing_Liu_(computer_scientist);
168;Hearst, Marti A.;female;https://en.wikipedia.org/wiki/Marti_Hearst;
173;Etzioni, Oren;female;https://en.wikipedia.org/wiki/Oren_Etzioni;
188;Lee, Lillian;female;https://en.wikipedia.org/wiki/Lillian_Lee_(computer_scientist);
229;Uszkoreit, Hans;male;https://en.wikipedia.org/wiki/Hans_Uszkoreit;
267;Pinkal, Manfred;male;https://en.wikipedia.org/wiki/Manfred_Pinkal;
297;Copestake, Ann;female;https://en.wikipedia.org/wiki/Ann_Copestake;
322;Kilgarriff, Adam;male;https://en.wikipedia.org/wiki/Adam_Kilgarriff;
396;Moens, MarieFrancine;female;https://en.wikipedia.org/wiki/Marie-Francine_Moens;
450;Rieser, Verena;female;https://en.wikipedia.org/wiki/Verena_Rieser;
459;Mitchell, Margaret;female;https://en.wikipedia.org/wiki/Margaret_Mitchell_(scientist);
482;Mitkov, Ruslan;male;https://en.wikipedia.org/wiki/Ruslan_Mitkov;
485;Kay, Martin;male;https://en.wikipedia.org/wiki/Martin_Kay;
500;Brill, Eric;male;https://en.wikipedia.org/wiki/Eric_Brill;
510;Velardi, Paola;female;https://en.wikipedia.org/wiki/Paola_Velardi;
541;Kaplan, Ronald M.;male;https://en.wikipedia.org/wiki/Ronald_Kaplan;
566;Zhai, ChengXiang;male;https://en.wikipedia.org/wiki/Cheng_Xiang_Zhai;
570;Maynard, Diana;female;https://en.wikipedia.org/wiki/Diana_Maynard;
627;Karttunen, Lauri;male;https://en.wikipedia.org/wiki/Lauri_Karttunen;
630;Ng, Andrew Y.;male;https://en.wikipedia.org/wiki/Andrew_Ng;
720;Jelinek, Frederick;male;https://en.wikipedia.org/wiki/Frederick_Jelinek;
736;Finin, Tim;male;https://en.wikipedia.org/wiki/Tim_Finin;
794;Nagao, Makoto;male;https://en.wikipedia.org/wiki/Makoto_Nagao;
798;Fellbaum, Christiane;female;https://en.wikipedia.org/wiki/Christiane_Fellbaum;
823;Grosz, Barbara J.;female;https://en.wikipedia.org/wiki/Barbara_J._Grosz;
957;Katz, Boris;male;https://en.wikipedia.org/wiki/Boris_Katz;
1005;Grefenstette, Gregory;male;https://en.wikipedia.org/wiki/Gregory_Grefenstette;
1119;Schubert, Lenhart;male;https://en.wikipedia.org/wiki/Lenhart_Schubert;
1169;Lafferty, John;male;https://en.wikipedia.org/wiki/John_D._Lafferty;
1187;Kornai, András;male;https://en.wikipedia.org/wiki/Andr%C3%A1s_Kornai;
1192;Chen, Danqi;female;https://en.wikipedia.org/wiki/Danqi_Chen;
1239;Berg, Tamara;female;https://en.wikipedia.org/wiki/Tamara_Berg;
1320;Mikolov, Tomáš;male;https://en.wikipedia.org/wiki/Tomas_Mikolov;
1359;Veronis, Jean;male;https://en.wikipedia.org/wiki/Jean_V%C3%A9ronis;
1395;Wallach, Hanna;female;https://en.wikipedia.org/wiki/Hanna_Wallach;
1513;Sahlgren, Magnus;male;https://en.wikipedia.org/wiki/Magnus_Sahlgren;
1599;Mohri, Mehryar;male;https://en.wikipedia.org/wiki/Mehryar_Mohri;
1842;Lehnert, Wendy;female;https://en.wikipedia.org/wiki/Wendy_Lehnert;
1905;Hassan, Samer;male;https://en.wikipedia.org/wiki/Samer_Hassan;
1911;Voorhees, Ellen M.;female;https://en.wikipedia.org/wiki/Ellen_Voorhees;
2071;Bick, Eckhard;male;https://en.wikipedia.org/wiki/Eckhard_Bick;
2081;Huang, Xuedong;male;https://en.wikipedia.org/wiki/Xuedong_Huang;
2381;Liddy, Elizabeth D.;female;https://en.wikipedia.org/wiki/Liz_Liddy;
2517;Ramsay, Allan;male;https://en.wikipedia.org/wiki/Allan_M._Ramsay;
3223;Rögnvaldsson, Eirı́kur;male;https://en.wikipedia.org/wiki/Eir%C3%ADkur_R%C3%B6gnvaldsson;
3275;Keselj, Vlado;male;https://en.wikipedia.org/wiki/Vlado_Keselj;
3728;Carlson, Lauri;male;https://en.wikipedia.org/wiki/Lauri_Carlson;
4031;Wilensky, Robert;male;https://en.wikipedia.org/wiki/Robert_Wilensky;
4204;Dalli, Angelo;male;https://en.wikipedia.org/wiki/Angelo_Dalli;
4372;Honkela, Timo;male;https://en.wikipedia.org/wiki/Timo_Honkela;
4558;Sparck Jones, Karen;female;https://en.wikipedia.org/wiki/Karen_Sp%C3%A4rck_Jones;
4626;Evans, David A.;male;https://en.wikipedia.org/wiki/David_Andreoff_Evans;
4806;Tan, WangChiew;female;https://en.wikipedia.org/wiki/Wang-Chiew_Tan;
5493;Pollack, Martha E.;female;https://en.wikipedia.org/wiki/Martha_E._Pollack;
6079;Stabler, Edward;male;https://en.wikipedia.org/wiki/Edward_Stabler;
6347;Marcus, Solomon;male;https://en.wikipedia.org/wiki/Solomon_Marcus;
7308;Damerau, Fred;male;https://en.wikipedia.org/wiki/Frederick_J._Damerau;
8496;Martin, William A.;male;https://en.wikipedia.org/wiki/William_A._Martin;
8522;Yngve, Victor H.;male;https://en.wikipedia.org/wiki/Victor_Yngve;
8842;Tanaka-Ishii, Kumiko;female;https://en.wikipedia.org/wiki/Kumiko_Tanaka-Ishii;
8869;Kohlhase, Michael;male;https://en.wikipedia.org/wiki/Michael_Kohlhase;
9271;Friedman, Carol;female;https://en.wikipedia.org/wiki/Carol_Friedman;
9302;Díaz de Ilarraza, Arantza;female;https://en.wikipedia.org/wiki/Arantza_D%C3%ADaz_de_Ilarraza_S%C3%A1nchez;
9865;Heck, Larry;male;https://en.wikipedia.org/wiki/Larry_Heck;
10150;Woods, William A.;male;https://en.wikipedia.org/wiki/William_Aaron_Woods;
10212;Coecke, Bob;male;https://en.wikipedia.org/wiki/Bob_Coecke;
10313;Argamon, Shlomo;male;https://en.wikipedia.org/wiki/Shlomo_Argamon;
10441;Norvig, Peter;male;https://en.wikipedia.org/wiki/Peter_Norvig;
10771;Ananiadou, Sofia;female;https://en.wikipedia.org/wiki/Sophia_Ananiadou;
11013;Chaudhuri, Bidyut Baran;male;https://en.wikipedia.org/wiki/Bidyut_Baran_Chaudhuri;
11538;Tomabechi, Hideto;male;https://en.wikipedia.org/wiki/Hideto_Tomabechi;
12496;Tsujii, J.;male;https://en.wikipedia.org/wiki/Jun%27ichi_Tsujii;
13159;McNamara, Danielle S.;female;https://en.wikipedia.org/wiki/Danielle_S._McNamara;
13275;Lussier, Yves;male;https://en.wikipedia.org/wiki/Yves_A._Lussier;
13428;Lenzo, Kevin;male;https://en.wikipedia.org/wiki/Kevin_Lenzo;
15468;Sager, Naomi;female;https://en.wikipedia.org/wiki/Naomi_Sager;
16034;Mendonca, Eneida A.;female;https://en.wikipedia.org/wiki/Eneida_A._Mendon%C3%A7a;
18208;Fahlman, Scott E.;male;https://en.wikipedia.org/wiki/Scott_Fahlman;
20450;Masterman, Margaret;female;https://en.wikipedia.org/wiki/Margaret_Masterman;
24680;Lehmann, Winfred P.;male;https://en.wikipedia.org/wiki/Winfred_P._Lehmann;
27398;Barry, William;male;https://en.wikipedia.org/wiki/William_J._Barry;
27587;Atkins, B.T.S.;female;https://en.wikipedia.org/wiki/Beryl_Atkins;
29390;Wolk, Krzysztof;male;https://en.wikipedia.org/wiki/Krzysztof_Wo%C5%82k;
30730;Greenhill, Simon J.;male;https://en.wikipedia.org/wiki/Simon_J._Greenhill;
37201;Mewburn, Inger;female;https://en.wikipedia.org/wiki/Inger_Mewburn;
37227;Hajič, J.;male;https://en.wikipedia.org/wiki/Jan_Haji%C4%8D;
41219;Keane, Mark;male;https://en.wikipedia.org/wiki/Mark_Keane;
44359;Lam, Monica;female;https://en.wikipedia.org/wiki/Monica_S._Lam;
45042;Lazebnik, Svetlana;female;https://en.wikipedia.org/wiki/Svetlana_Lazebnik;
45043;Ali, Nabil;male;https://en.wikipedia.org/wiki/Nabil_Ali;
45044;Karky, Madhan;male;https://en.wikipedia.org/wiki/Madhan_Karky;
45045;Sheng, Li;male;https://en.wikipedia.org/wiki/Li_Sheng_(computer_scientist);
45046;Poovarawan, Yuen;male;https://en.wikipedia.org/wiki/Yuen_Poovarawan;
45047;Prasad, A.R.D.;male;https://en.wikipedia.org/wiki/A._R._D._Prasad;
45048;Allén, Sture;male;https://en.wikipedia.org/wiki/Sture_All%C3%A9n;
45049;Gray, Russell;male;https://en.wikipedia.org/wiki/Russell_Gray;
45050;Lovins, Julie Beth;female;https://en.wikipedia.org/wiki/Julie_Beth_Lovins;
