Impact Rank;Name;Gender;Wikipedia Page
1;Manning, Christopher D.;;
2;Hovy, Eduard;male;https://en.wikipedia.org/wiki/Eduard_Hovy
3;Ney, Hermann;;
4;Smith, Noah A.;;
5;Dyer, Chris;;
6;Palmer, Martha;female;https://en.wikipedia.org/wiki/Martha_Palmer
7;Koehn, Philipp;male;https://en.wikipedia.org/wiki/Philipp_Koehn
8;Klein, Dan;male;https://en.wikipedia.org/wiki/Dan_Klein
9;Roth, Dan;male;https://en.wikipedia.org/wiki/Dan_Roth
10;Nivre, Joakim;;
11;Jurafsky, Dan;male;https://en.wikipedia.org/wiki/Dan_Jurafsky
12;Callison-Burch, Chris;;
13;Knight, Kevin;;
14;Zhou, Ming;;
15;Lapata, Mirella;female;https://en.wikipedia.org/wiki/Monica_S._Lam
16;Baldwin, Timothy;;
17;McKeown, Kathleen;female;https://en.wikipedia.org/wiki/Kathleen_McKeown
18;Mihalcea, Rada;female;https://en.wikipedia.org/wiki/Inger_Mewburn
19;Grishman, Ralph;;
20;Matsumoto, Yuji;;
